PLOTTITLE[average salary for woman], XLEAST[2000], SLOPEY[10], YUNIT[%]	The average salary for woman has grown since 2000 by at least 10 %
PLOTTITLE[Minority Representation percentage in the Lybian Parliament], XLABEL[period], XHIGHEST[1990-1994], YLABEL[representation], YHIGHESTAPPROX[13], YUNIT[%], INTERVAL[29], XLABEL[years], YLABEL[representation], XFIFTH[2015-2019], XLABEL[period]	This chart shows the Minority Representation percentage in the Lybian Parliament . \\n \\n In the period of 1990-1994 , the representation was 13 % , but has steadily decreased over the last 29 years , before an upturn in representation in the 2015-2019 period .
XHIGHEST[Law], YHIGHEST[60], YUNIT[%], T1AY[women], YSECOND[40], YUNIT[%], XSECOND[Financial], XLABEL[sector], XTHIRD[Insurance], MULTHIRDHIGHEST[one-third], XHIGHEST[Law], XLEAST[Technical firms], YLEAST[20], YUNIT[%], MULLEASTSECOND[half], XSECOND[Finance], MULLEASTHIGHEST[one-third], XHIGHEST[Law]	In the Law 60 % are women , followed by 40 % in the Financial sector . Insurance is just over one-third of those working in the Law . Technical firms have 20 % , which is half of those working in Finance and one-third of those in Law .
YLABEL[woman representation in Benoni], XHIGHEST[insurance sector], YHIGHESTAPPROX[64], YUNIT[%], YTHIRD[50], YUNIT[%], YLABEL[women represented], XTHIRD[financial groups], XLEAST[law firms], YLEASTAPPROX[36], YUNIT[%]	this chart demonstrates that woman representation in Benoni is largest in the insurance sector , at 64 % . in comparison 50 % and below of women represented in financial groups , even less is law firms , at 36 % .
PLOTTITLE[percentages of minority representation in the Lybian parliament], XLABEL[years], XSTART[from], XLEAST[1990], XEND[to], XHIGHEST[2019], XLEAST[1990-1994], YLEASTAPPROX[0.4], YUNIT[%], YFIFTHAPPROX[2], YUNIT[%], XFIFTH[1995-1999], XFOURTH[2000-2004], YFOURTHAPPROX[7.2], YUNIT[%], YTHIRD[10], YUNIT[%], XTHIRD[2005-2009], YLABEL[percentage], YSECONDAPPROX[12.8], YUNIT[%], XSECOND[2010-2014], XEND[to], YHIGHEST[14], YUNIT[%], XHIGHEST[2015-2019], YLABEL[percentages]	The above chart shows the percentages of minority representation in the Lybian parliament across different ranges of years from 1990 to 2019 . The lowest recorded was 1990-1994 at 0.4 % , this rises to 2 % in 1995-1999 , 2000-2004 sees a big jump to 7.2 % and 10 % in 2005-2009 . This percentage rises to 12.8 % in 2010-2014 and again rises to 14 % in 2015-2019 , this has been the highest recorded showing an increasing trend on the percentages .
YLABEL[percentage], PLOTTITLE[women in different work sectors], XHIGHEST[law firms], YHIGHEST[60], YUNIT[%], T1AY[women], XSECOND[finance], YSECOND[40], YUNIT[%], XTHIRD[insurance], YTHIRD[25], YUNIT[%], XLEAST[technical firms], YLEAST[20], YUNIT[%]	This charts shows the percentage of women in different work sectors . In law firms , there are 60 % of women , in finance there are 40 % , insurance 25 % and in technical firms only 20 % .
XLABEL[sector], YLABEL[women representation], XHIGHEST[law firms], XLEAST[tech], YLEAST[20], YUNIT[%], T1AY[women represented], XLABEL[sector], XTHIRD[Insurance], YTHIRD[quarter], YLABEL[women representation], XSECOND[financial groups], YSECONDAPPROX[half]	The chart shows that the sector with most women representation is law firms . however tech is the least with less than 20 % of women represented in the sector . Insurance has only a quarter of women representation with financial groups a little over half .
YLABEL[Women representation], XLABEL[university departments], T1AB[narvik], XLABEL[department], XHIGHEST[engineering], YHIGHEST[70], YUNIT[%], XLEAST[literature], YLEASTAPPROX[23], YUNIT[%], XSECOND[Computer science], YSECOND[60], YUNIT[%], XFOURTH[arts], XFOURTH[32], YUNIT[%], XTHIRD[mathematics], YHIGHESTAPPROX[65], YUNIT[%]	Women representation in different university departments in narvik was at its highest in the department of engineering at 70 % . It was at its lowest in literature at 23 % . Computer science was second highest at 60 % , the arts at 32 % and mathematics at 65 % .
XHIGHEST[2015], T1AB[women], T1AY[median], YLABEL[pay], YHIGHESTAPPROX[53], YMAG[k], YSECOND[50], YMAG[k], XSECOND[2010], XTHIRD[2005], YTHIRD[45], YMAG[k], YLEAST[40], YMAG[k], XLEAST[2000]	2015 saw women median pay rise to 53 k , from 50 k in 2010 . 2005 it was at 45 k from 40 k in 2000 , so you can see it has been rising steadily
PLOTTITLE[Number of fatal injuries at the Pula Steel Factory], XSTART[between], XLABEL[years], XHIGHEST[2012], XEND[-], XLEAST[2016], XHIGHEST[2012], YHIGHEST[30], YUNIT[fatalities], XLABEL[year], XSECOND[2013], YSECOND[25], YUNIT[fatalities], XTHIRD[2014], YTHIRDAPPROX[15], YUNIT[fatalities], XFOURTH[2015], YFOURTH[15], XLEAST[2016], YLEASTAPPROX[13], YUNIT[fatalities]	This bar chart shows the Number of fatal injuries at the Pula Steel Factory between years 2012 - 2016 . \\n In 2012 it was highest at 30 fatalities across the year . In 2013 it lowered to 25 fatalities , in 2014 it hit just above 15 fatalities . In 2015 it hit 15 , and in 2016 it hit 13 fatalities .
YLABEL[gender pay gap], XHIGHEST[Germany], YHIGHEST[21], YUNIT[%], YLEASTAPPROX[15], YUNIT[%], XLEAST[Spain], XSECOND[UK], YSECONDAPPROX[20], YUNIT[%]	The gender pay gap is highest in Germany at over 21 % compared to 15 % in Spain and just slightly more than the UK at 20 % . \\n Lots of factors come into play here but it is clear from this graph that Germany & the UK needs to step up to close the gender pay gap .
XHIGHEST[Uk], YLABEL[gender pay gap], YHIGHEST[15], YUNIT[%], XSECOND[Spain], YSECOND[10], YUNIT[%], XLEAST[Germany], YLEAST[5], YUNIT[%]	Uk has the largest gender pay gap at 15 % whilst Spain is 10 % and Germany only 5 %
YLABEL[gender pay gap], ADDHIGHESTLEAST[10], YUNIT[%], XHIGHEST[UK], XLEAST[Germany], XSECOND[Spain], OTHEROPERATION[halfway]	The gender pay gap is greatest by about 10 % in the UK than in Germany . Spain is exactly halfway between the two countries .
PLOTTITLE[minority representation in Lybian parliament], YLABEL[Participation], XSTART[between], XLEAST[1990], XEND[to], XHIGHEST[2019], XLEAST[Between 1990-1994], YLEASTAPPROX[1], YUNIT[%], YLABEL[representation], YFIFTHAPPROX[2], YUNIT[%], XFIFTH[between 95-99], MULFOURTHFIFTH[quadrupled], YFOURTHAPPROX[8], YUNIT[%], XFOURTH[between 2000-2005], SLOPEY[2], YUNIT[%], SLOPEX[4], XLABEL[years], PLOTTITLE[minority representation in the parliament of Lybia], XLEAST[1990], YLEAST[0.5], YUNIT[%], YLABEL[percentage], XHIGHEST[2015-2019], YHIGHEST[14], YUNIT[%]	This chart shows minority representation in Lybian parliament . Participation has increased between 1990 to 2019 . Between 1990-1994 there was under 1 % representation , but this increased to 2 % between 95-99 and this quadrupled to nearly 8 % between 2000-2005 . Since then there has been a 2 % rise approximately every 4 years . This chart shows the minority representation in the parliament of Lybia . \\n Beginning in 1990 at less than 0.5 % , the percentage has grown year on year and in 2015-2019 peaked at 14 % .
PLOTTITLE[median salary of women in Najaf], INTERVAL[5], XLABEL[years], XLABEL[year], XSECOND[2000], XHIGHEST[2005], YUNIT[£], YHIGHESTAPPROX[26], YMAG[,000], YLABEL[salary], YUNIT[£], YLEAST[16], YMAG[,000], XLEAST[2015]	The median salary of women in Najaf per 5 years started fairly high in the table in the year 2000 and showed its highest in 2005 being £ 26 ,000 . Over the next 10 years the salary soon dropped to a shocking £ 16 ,000 by 2015 .
XHIGHEST[America], YLABEL[number], T1AY[Top Universities], YHIGHEST[50/100], XHIGHEST[their continent], XSECOND[Europe], YSECOND[30], YUNIT[%], T1AY[top], YLABEL[universities], XTHIRD[Asia], YTHIRD[20], GRLEASTLEAST[Australia and Africa], GRYLEASTLEAST[5], YLABEL[universities], T1AY[top 100]	The chart shows that America has the highest number of Top Universities with 50/100 being on their continent . Europe holds 30 % of the top universities , followed by Asia with 20 . Australia and Africa both have 5 universities in the top 100
PLOTTITLE[how young people spend their evenings], YLABEL[percentage], YHIGHEST[40], YUNIT[%], XHIGHEST[watch TV], YSECOND[30], YUNIT[%], XSECOND[go out], XTHIRD[spend time with family], YTHIRD[20], YUNIT[%], XLEAST[read a book], YLEAST[10], YUNIT[%]	This chart shows how young people spend their evenings by percentage . 40 % watch TV , 30 % go out . The rest with spend time with family ( 20 % ) or read a book ( 10 % ) .
XLABEL[University departments], YHIGHEST[70], YUNIT[%], T1AY[women], XHIGHEST[literature], XLABEL[field], XSECOND[arts], YSECOND[60], YUNIT[%], XTHIRD[engineering], YTHIRD[30], YUNIT[%], XFOURTH[computer science], YFOURTH[20], YUNIT[%], XLEAST[mathematics], YLEAST[10], YUNIT[%], T1AY[women], XLABEL[department]	University departments consist 70 % women in the literature field , arts have 60 % , engineering 30 % , computer science 20 % but the mathematics has only 10 % women in the department
YLABEL[number of injuries], T1AB[Pula steel factory], XSECOND[2012], YSECOND[27], YUNIT[injuries], XHIGHEST[2013], YHIGHEST[32], YUNIT[injuries], XTHIRD[2014], YTHIRD[26], YUNIT[injuries], XLEAST[2015], YLEASTAPPROX[23], YUNIT[injuries], XFOURTH[2016], YFOURTH[25], YUNIT[injuries]	This chart shows fluctuations in number of injuries at the Pula steel factory . In 2012 there were 27 injuries , 2013 ( 32 injuries ) , 2014 ( 26 injuries ) , 2015 ( 23 injuries ) and 2016 25 injuries .
PLOTTITLE[average time spent on social media by age group in Maputo], XLABEL[ages], XSECOND[15-24], T1AY[average], YSECONDAPPROX[124], YUNIT[minutes], T1AY[social media], GRYFOURTHLEAST[76], YUNIT[minutes], GRFOURTHLEAST[people aged 25-34 and 35-44], XLABEL[ages], XHIGHEST[45-54], T1AY[usage], YHIGHESTAPPROX[152], YUNIT[minutes], T1AY[day], YTHIRDAPPROX[112], YUNIT[minutes], XLABEL[ages], XTHIRD[55-64]	This chart shows the average time spent on social media by age group in Maputo . \\n From the ages of 15-24 an average of 124 minutes are spent using social media before a distinct drop off to 76 minutes for people aged 25-34 and 35-44 . \\n At the ages of 45-54 the usage reaches its highest at 152 minutes per day , before again dropping down to 112 minutes for ages 55-64
YLABEL[percentage of students], T1AB[choose], T1AY[study], COUNT[four], XLABEL[departments], YHIGHEST[50], YUNIT[%], XHIGHEST[STEM], YSECOND[20], YUNIT[%], XSECOND[Literature], YLEAST[10], YUNIT[%], XLEAST[Philosophy], YSECOND[20], YUNIT[%], XSECOND[Medicine]	This graph shows the percentage of students who choose to study in four different departments . 50 % - STEM \\n 20 % - Literature \\n 10 % - Philosophy \\n 20 % - Medicine
PLOTTITLE[Akef inc stock prices for the week], YUNIT[british pounds], XLABEL[day of the week], XLEAST[friday], YUNIT[£], YLEASTAPPROX[10], XHIGHEST[Wednesday], YUNIT[£], YHIGHESTAPPROX[72]	This chart shows Akef inc stock prices for the week in british pounds per day of the week . \\n From the chart we can see that friday is the lowest at approximately £ 10 . The highest is Wednesday at £ 72
PLOTTITLE[how many minutes certain age groups spend on social media every day in Maputo], XHIGHEST[15-24 year olds], YLABEL[time], YHIGHESTAPPROX[180], YUNIT[minutes], XSECOND[25-34], YSECONDAPPROX[160], YUNIT[minutes], XTHIRD[35-44], YTHIRDAPPROX[120], YUNIT[minutes], XFOURTH[45-54], YFOURTHAPPROX[100], YUNIT[minutes], XLEAST[55-64], YLEASTAPPROX[70], YUNIT[minutes]	This chart shows how many minutes certain age groups spend on social media every day in Maputo . 15-24 year olds spend the most time at 180 minutes , followed by 25-34 at 160 minutes , then 35-44 at 120 minutes , then 45-54 at almost 100 minutes and lastly 55-64 at around 70 minutes .
YHIGHEST[Half], T1AY[top], YLABEL[universities], XHIGHEST[America], YSECOND[30], YUNIT[%], XSECOND[Europe], XTHIRD[Asia], XLEAST[Africa], XLEAST[Australia], XTHIRD[Asia], YTHIRD[20], YUNIT[%], GRLEASTLEAST[Africa and Australia], GRYLEASTLEAST[5], YUNIT[%]	Half of the top universities in the world are in America . 30 % are in Europe . Asia , Africa and Australia have fewer . Asia with 20 % and Africa and Australia both with 5 % . This would show that those with the highest quality university education study in the US or Europe .
PLOTTITLE[percentage of women within different university departments in Narvik], GRHIGHESTSECONDTHIRD[STEM subjects], T1AY[women], GRYHIGHESTSECONDTHIRD[half], XLABEL[department], GRFOURTHLEAST[arts and literature], XLABEL[department], T1AY[women], GRYFOURTHLEAST[third], XLABEL[department]	The graph details the percentage of women within different university departments in Narvik . The graph shows that in STEM subjects women make up more than half of the department , while in the arts and literature department , women account for less than a third of the department .
XLABEL[education], YLABEL[salary]	The higher level of education the higher the salary
YHIGHEST[50], YUNIT[%], T1AY[top], YLABEL[universities], XHIGHEST[America], YSECOND[30], YUNIT[%], XSECOND[Europe], YTHIRD[20], YUNIT[%], XTHIRD[Asia], GRYLEASTLEAST[5], YUNIT[%], GRLEASTLEAST[Africa and Australia]	This graph shows that 50 % of the top universities are in America , 30 % in Europe , 20 % in Asia with 5 % in both Africa and Australia .
YLABEL[gender pay gap], BARNAMES[Germany, UK and Spain], T1AB[2017], XHIGHEST[Germany], YLABEL[pay gap], YHIGHESTAPPROX[22], YUNIT[%], XLEAST[Spain], YLEASTAPPROX[15], YUNIT[%]	The gender pay gap was investigated in Germany, UK and Spain in 2017 . it was found that Germany had the highest pay gap at 22 % and Spain the lowest at 15 % .
PLOTTITLE[causes of obesity], YLABEL[percentage of obesity cases], XHIGHEST[fast food], YHIGHEST[60], YUNIT[%], XSECOND[genetic reasons], YSECOND[30], YUNIT[%], XLEAST[lack of exercise], YLEAST[10], YUNIT[%]	This chart displays causes of obesity . The highest percentage of obesity cases cases would be because of fast food at 60 % , followed by genetic reasons at 30 % and then lack of exercise at 10 % .
XHIGHEST[Fast food], XLABEL[cause of obesity], YHIGHEST[60], YUNIT[%], XSECOND[genetics], YSECOND[30], YUNIT[%], XLEAST[lack of exercise], YLEAST[10], YUNIT[%]	Fast food is the leading cause of obesity at 60 % , followed by genetics at 30 % and a lack of exercise at 10 %
PLOTTITLE[fatal injuries sustained at the Pula Steel Factory], XSTART[between], XSECOND[2012], XEND[and], XFOURTH[2016], YLABEL[number of fatalities], YSECOND[27], XSECOND[2012], YHIGHEST[32], XHIGHEST[2013], XLABEL[years], YLEAST[22], XLEAST[2015], XFOURTH[year that followed], YLABEL[fatalities], XFOURTH[2016], YFOURTH[25]	We can see from the chart the fatal injuries sustained at the Pula Steel Factory between 2012 and 2016 . The number of fatalities grew from 27 in 2012 to 32 in 2013 . Thereafter , there has been a decline over the years down to 22 in 2015 . However there has been an increase in the year that followed and the fatalities for 2016 stands at 25 .
PLOTTITLE[money spent on higher education], XLABEL[parts of the world], T1AB[2010], XHIGHEST[Africa], YHIGHESTAPPROX[290], YMAG[million], YUNIT[pounds], XLEAST[North America], YLEASTAPPROX[149], YMAG[million], YUNIT[pounds], XSECOND[Europe], YSECONDAPPROX[270], YMAG[million], YUNIT[pounds], XEND[and], XTHIRD[Asia], YTHIRDAPPROX[170], YMAG[million], YUNIT[pounds]	This chart shows money spent on higher education in different parts of the world in 2010 . Africa spent the most at 290 million pounds , North America the least at 149 million pounds . Europe spent 270 million pounds and Asia 170 million pounds .
T1AY[median], YLABEL[salary], T1AB[women], XSTART[from], XLEAST[2000], XEND[to], XHIGHEST[2015], T1AB[Women's], YLABEL[earnings]	This graph presents the median salary of women from 2000 to 2015 . Women's earnings have been steadily increasing over this time .
PLOTTITLE[women representation in different sectors in Benoni], XHIGHEST[insurance], YHIGHEST[65], YUNIT[%], XSECOND[tech], YSECONDAPPROX[60], YUNIT[%], XTHIRD[finance], YTHIRD[50], YUNIT[%], XLEAST[law], YLEAST[35], YUNIT[%]	This chart shows women representation in different sectors in Benoni the highest being insurance at 65 % then tech at just above 60 % then finance at 50 % then law at 35 %
PLOTTITLE[gender pay gap], BARNAMES[Germany, Spain and the UK], XHIGHEST[UK], YLABEL[pay gap], XSECOND[Spain], XLEAST[Germany]	This chart shows the gender pay gap between Germany, Spain and the UK . We can see that the UK has the biggest pay gap , followed by Spain and Germany has the smallest .
PLOTTITLE[women's representation at different universites in Narvik], XLEAST[Literature], YLEAST[23], YUNIT[%], XHIGHEST[Engineering], YHIGHEST[70], YUNIT[%]	This chart looked at women's representation at different universites in Narvik . Participation ranged from the lowest ( Literature at 23 % ) to the highest ( Engineering ) at 70 %
PLOTTITLE[top 100 universities in each country], XHIGHEST[america], YHIGHEST[50], XSECOND[europe], YSECOND[30], XTHIRD[asia], YTHIRD[20], GRLEASTLEAST[africa and australia], GRYLEASTLEAST[4]	this graph shows the top 100 universities in each country leading is america with 50 , europe with 30 , asia with 20 and africa and australia tying with 4 each . this shows that america and europe combined have more than 80% of the top 100 universities
XHIGHEST[Asia], XLABEL[country], T1AY[higher education], YHIGHESTAPPROX[300], YMAG[million], YUNIT[dollars], XLEAST[Africa], YLEAST[50], YMAG[million], YUNIT[dollars], XTHIRD[Europe], MULSECONDTHIRD[double], YSECOND[200], YMAG[million], YUNIT[dollars], XSECOND[N.America]	Asia is the country spending the most on higher education at over 300 million dollars but Africa only spends 50 million dollars . Europe only spends double that compared with 200 million dollars of that with N.America .
XLEAST[Between 1990 and 1994], T1AB[Parliament of Lybia], MULSECONDHIGHEST[1], YUNIT[%], YLABEL[minorities represented], XFIFTH[Between 1995 and 1999], YFIFTHAPPROX[2], YUNIT[%], XFOURTH[Between 2000 and 2004], T1AY[minorities], YFOURTHAPPROX[7], YUNIT[%], YLABEL[representation], XTHIRD[Between 2005 and 2009], YTHIRD[10], YUNIT[%], XSECOND[between 2010 and 2014], YSECONDAPPROX[12], YUNIT[%], XHIGHEST[2015 to 2019], YLABEL[percentage], YHIGHEST[14], YUNIT[%]	Between 1990 and 1994 the Parliament of Lybia had less than 1 % of minorities represented . Between 1995 and 1999 this increased to slightly more than 2 % . Between 2000 and 2004 minorities had more than 7 % representation . Between 2005 and 2009 this had increased to 10 % and between 2010 and 2014 it was more than 12 % . By the period 2015 to 2019 the percentage had risen to 14 % .
PLOTTITLE[money spent on higher education in the year 2010 by different continents], XHIGHEST[Asia], XLEAST[Africa]	This graph presents money spent on higher education in the year 2010 by different continents . It might be total money spent, it is not clear . Asia seems to spend the most , compared to Africa which spends the least .
T1AY[median], YLABEL[salary], T1AB[women], XLEAST[2000], T0AY[average], YLABEL[salary], T1AB[women], YHIGHESTAPPROX[50], YMAG[,000], YUNIT[dollars], XHIGHEST[2015], YLEAST[40], YMAG[,000], XLEAST[2000]	This chart shows that the median salary for women has increased continualy since 2000 , with the average salary for women over 50 ,000 dollars in 2015 , compared to 40 ,000 in 2000 .
PLOTTITLE[percentage of women represented in different university departments in Narvik], XHIGHEST[Engineering], XLABEL[department], YLABEL[representation of women], YHIGHEST[70], YUNIT[%], XLABEL[department], T1AY[women], XSECOND[Computer science], YSECOND[60], YUNIT[%], XLABEL[department], T1AY[women], XHIGHEST[Engineering], XTHIRD[Mathematics], YTHIRD[56], YUNIT[%], XFOURTH[Arts], XLABEL[department], YFOURTH[32], YUNIT[%], T1AY[women], XLEAST[Literature], YLEASTAPPROX[22], YUNIT[%], T1AY[women]	This chart shows the percentage of women represented in different university departments in Narvik . \\n \\n From the chart , we can see that Engineering is the department with the highest representation of women , with 70 % of the department being women . Computer science follows with 60 % of the department being women , although this is a big drop from Engineering . Mathematics follows closely with 56 % . \\n \\n However , after this , there is a big drop with the Arts department containing only 32 % of women and Literature coming last with just 22 % of women .
YLABEL[gender pay gap], XHIGHEST[Germany], YHIGHEST[21], YUNIT[%], XSECOND[UK], YSECOND[20.5], YUNIT[%], XLEAST[Spain], YLEASTAPPROX[15], YUNIT[%]	The gender pay gap in Germany is 21 % , in the UK is 20.5 % and in Spain is 15 % .
XHIGHEST[Fast food], T1AX[causing], T1AY[obesity]	Fast food is the highest factors in causing obesity
YLABEL[minority representation], T1AB[Parliament of Libya], XSTART[from], XLEAST[1990], XEND[-], XHIGHEST[2019], YLABEL[percentage of representatives], YLEASTAPPROX[0.4], YUNIT[%], XLABEL[period], XLEAST[1990-1994], YLABEL[figures and percentages], YHIGHEST[14], YUNIT[%], XLABEL[period], XHIGHEST[2015-19]	We can see a definite increase in the minority representation in the Parliament of Libya from the period 1990 - 2019 . The percentage of representatives was at a low of 0.4 % for the period 1990-1994 . Steadily those figures and percentages have increased to 14 % for the period 2015-19 .
T1AB[Software engineers], XLABEL[degree], XLABEL[degree], YLABEL[salary]	Software engineers who achieved a higher degree of further education and higher degree qualification earn a higher salary .
PLOTTITLE[closing stock price for Akef Inc over the course of a week], XTHIRD[Monday], T1AY[stock], T1AY[closed], YUNIT[£], YTHIRDAPPROX[50], YUNIT[£], YSECONDAPPROX[63], XSECOND[Tuesday], YUNIT[£], YHIGHESTAPPROX[74], XHIGHEST[Wednesday], YUNIT[£], YFOURTHAPPROX[22], XFOURTH[Thursday], XLEAST[Friday], T1AY[closing], YUNIT[£], YLEASTAPPROX[9]	This chart show the closing stock price for Akef Inc over the course of a week . \\n On Monday the stock closed at £ 50 , then rose to £ 63 on Tuesday and again rose to £ 74 on Wednesday . The stock plummeted to £ 22 on Thursday and dropped again on Friday , closing at £ 9 .
XLABEL[cause], XHIGHEST[over-consumption of fast food], YHIGHEST[60], YUNIT[%], YLABEL[obesity cases], XSECOND[Genetics], YLABEL[cases], YSECOND[30], YUNIT[%], XLEAST[Lack of exercise], YLEAST[10], YUNIT[%], YLABEL[cases]	The primary cause is over-consumption of fast food with 60 % of obesity cases being related to this type of diet . Genetics also contributes to significant amount of cases by 30 % . Lack of exercise contributes to just 10 % of cases .
PLOTTITLE[median salary of women in najaf per year], T0AY[average], YLEASTAPPROX[15], YHIGHESTAPPROX[26], YMAG[thousand], YUNIT[pounds], INTERVAL[over the last 15 years], XHIGHEST[2005], XLEAST[2015], YLEAST[16], YMAG[thousand]	this chart demonstrates the median salary of women in najaf per year . on average this lies between 15 - 26 thousand pounds over the last 15 years . in 2005 it was at the highest , but the graph shows in 2015 this has reduced to 16 thousand .
YHIGHESTAPPROX[40], YUNIT[%], PLOTTITLE[causes of obesity in Kiribati], T1AX[caused], XHIGHEST[genetics], YSECONDAPPROX[36], YUNIT[%], T1AY[obesity], T1AX[caused], XSECOND[lack of exercise], YLEASTAPPROX[24], YUNIT[%], T1AX[caused], XLEAST[eating fast food]	40 % of causes of obesity in Kiribati is caused by genetics . Approximately 36 % of obesity was caused by lack of exercise and approximately 24 % was caused by eating fast food .
PLOTTITLE[causes of Obesity], YLABEL[percentage], YHIGHEST[60], YUNIT[%], XHIGHEST[fast food], XSECOND[genetics], YSECOND[30], YUNIT[%], YLEAST[10], YUNIT[%], XLEAST[lack of exercise]	Graph shows the causes of Obesity by percentage . 60 % is caused by fast food , followed by genetics at 30 % and the smallest at 10 % is lack of exercise .
YLABEL[salary of women in Najaf], YUNIT[£], YLEAST[16], YMAG[,000], YUNIT[£], YHIGHESTAPPROX[26], YMAG[,000], XSTART[between], XSECOND[2000], XEND[and], XLEAST[2015], YLABEL[point], XHIGHEST[2005], XLEAST[2015]	The salary of women in Najaf fluctuated between £ 16 ,000 to £ 26 ,000 between 2000 and 2015 , with the highest point being 2005 and the lowest being 2015 .
PLOTTITLE[fatal injuries at the Puta Steel Factory], XSTART[from], XSECOND[2012], XEND[-], XFOURTH[2016], XSECOND[2012], YSECOND[27], YUNIT[fatal injuries], YHIGHEST[32], XHIGHEST[2013], XTHIRD[2014], YTHIRD[26], XLEAST[2015], YLEAST[22], YFOURTH[25], XFOURTH[2016]	The graph shows fatal injuries at the Puta Steel Factory from 2012 - 2016 inclusive . In 2012 there were 27 fatal injuries , rising to 32 in 2013 but falling again in 2014 to 26 . The number fell again in 2015 , to 22 , but rose to 25 in 2016 .
PLOTTITLE[gender pay gap percentages (2017)], BARNAMES[Germany , Spain and the UK], XHIGHEST[Germany], XSECOND[UK], GRYHIGHESTSECOND[21], YUNIT[%], YLABEL[gap], XLEAST[Spain], YLEASTAPPROX[15], YUNIT[%]	Bar chart showing gender pay gap percentages (2017) for Germany , Spain and the UK . \\n \\n Both Germany and the UK have a 21 % gap , whereas Spain is 15 % .
PLOTTITLE[Akef inc closing stock prices for the week], XTHIRD[Monday], YLABEL[stock price], YUNIT[£], YTHIRD[51], XSECOND[Tuesday], YUNIT[£], YSECOND[62], XHIGHEST[Wednesday], YUNIT[£], YHIGHESTAPPROX[74], XFOURTH[Thursday], YLABEL[stock price], YUNIT[£], YFOURTH[22], XEND[and], XLEAST[Friday], YUNIT[£], YLEASTAPPROX[9]	The graph shows Akef inc closing stock prices for the week . On Monday the stock price closed at £ 51 , Tuesday it closed at £ 62 , Wednesday was the highest closing at £ 74 . Thursday stock price closed at £ 22 and Friday closed at £ 9 .
YLABEL[percentage], PLOTTITLE[what students at Lagos State University choose to study], XHIGHEST[medicine], YHIGHEST[31], YUNIT[%], XSECOND[philosophy], YSECOND[30], YUNIT[%], YLABEL[percentage], XLEAST[STEM], XLABEL[chosen study], YLEAST[15], YUNIT[%], YLABEL[course take up], XTHIRD[Literature], YTHIRD[24], YUNIT[%]	This chart represents the percentage of what students at Lagos State University choose to study . \\n \\n As you will see medicine ( 31 % ) and philosophy ( 30 % ) are the highest and almost the same percentage . \\n \\n STEM is the lowest chosen study with 15 % course take up . Literature is the 3rd at 24 % .
PLOTTITLE[Average time spent on social media daily in Maputo by Age group], XHIGHEST[group between 15-24], YLABEL[time], YHIGHESTAPPROX[180], YUNIT[minutes], T1AY[day], XLEAST[group between 55-64], YLABEL[time], YLEASTAPPROX[70], YUNIT[minutes], T1AY[day], YLABEL[time], T1AY[daily], T1AY[social media], XHIGHEST[group 15-24], XSECOND[group 25-34], YSECONDAPPROX[160], YUNIT[minutes], ADDSECONDHIGHEST[20], XHIGHEST[previous group], XTHIRD[group 35-44], ADDTHIRDSECOND[40], YUNIT[minutes], XSECOND[previous group], XFOURTH[group 45-54], ADDFOURTHTHIRD[30], YUNIT[minutes], XTHIRD[previous one]	This graphic shows the Average time spent on social media daily in Maputo by Age group , it is not surprise that the group between 15-24 spent most of the time with 180 minutes a day , neither is surprising that the group between 55-64 spent the less time with 70 minutes a day . The graphics shows a trend where the older the group the less time they spend daily on social media , as we can see the decline after the group 15-24 , the following group 25-34 spend about 160 minutes , 20 less that the previous group , the group 35-44 spend around 40 minutes less that the previous group and the group 45-54 spend around 30 minutes less that it previous one .
PLOTTITLE[median salary of women in Najaf per year], XSECOND[2000], YLABEL[median salary], YUNIT[£], YSECONDAPPROX[22], YMAG[k], XHIGHEST[2005], YUNIT[£], YHIGHESTAPPROX[26], YMAG[k], XTHIRD[2010], YLABEL[figure], YUNIT[£], YTHIRDAPPROX[19], YMAG[k], XLEAST[2015], YUNIT[£], YLEAST[16], YMAG[k]	The chart shows the median salary of women in Najaf per year . \\n In 2000 the median salary was £ 22 k . In 2005 this increased to £ 26 k . In 2010 the figure fell to £ 19 k and in 2015 it was the lowest at £ 16 k
PLOTTITLE[closing stock price for the company Akef Inc], YUNIT[GBP], XLABEL[course of the working week], XHIGHEST[Mon], XEND[-], XLEAST[Fri], YLABEL[stock price], GRHIGHESTSECOND[Mon / Tues], GRFOURTHLEAST[Thurs / Fri]	The graph details the closing stock price for the company Akef Inc in GBP over the course of the working week ( Mon - Fri ) . The graph shows that overall , the stock price dropped as the week progressed , with significant drops from Mon / Tues and Thurs / Fri
PLOTTITLE[number of top 100 universities in each continent], XHIGHEST[America], T1AY[top 100 universities], YHIGHEST[50], XSECOND[Europe], YSECOND[30], XTHIRD[Asia], YTHIRD[20], GRLEASTLEAST[Australia and Africa], YLABEL[number of universities], T1AY[top 100], GRYLEASTLEAST[5]	This chart shows the number of top 100 universities in each continent . America has the most top 100 universities at 50 , while Europe is 2nd at 30 and Asia 3rd at 20 . Australia and Africa have the lowest number of universities in the top 100 at 5 each . This could be interpreted as there being better education in America, however the data could also be inaccurate, as the Top 100 Universities list is made by an American company, therefore may be bias towards American institutions .
